Country,Year,Temperature_change
Tunisia,1965,-0.022
Tunisia,1966,0.596
Tunisia,1967,0.032
Tunisia,1968,0.086
Tunisia,1969,0.021
Tunisia,1970,-0.26
Tunisia,1971,-0.363
Tunisia,1972,-0.51
Tunisia,1973,-0.213
Tunisia,1974,-0.431
Tunisia,1975,-0.456
Tunisia,1976,-0.842
Tunisia,1977,0.494
Tunisia,1978,-0.495
Tunisia,1979,0.292
Tunisia,1980,-0.323
Tunisia,1981,-0.043
Tunisia,1982,0.686
Tunisia,1983,0.084
Tunisia,1984,-0.257
Tunisia,1985,0.26
Tunisia,1986,0.3
Tunisia,1987,0.46
Tunisia,1988,1.185
Tunisia,1989,0.333
Tunisia,1990,1.275
Tunisia,1991,-0.185
Tunisia,1992,-0.143
Tunisia,1993,0.488
Tunisia,1994,1.18
Tunisia,1995,0.507
Tunisia,1996,0.48
Tunisia,1997,1.105
Tunisia,1998,0.849
Tunisia,1999,1.612
Tunisia,2000,0.874
Tunisia,2001,1.848
Tunisia,2002,1.111
Tunisia,2003,1.557
Tunisia,2004,0.776
Tunisia,2005,0.892
Tunisia,2006,1.111
Tunisia,2007,1.221
Tunisia,2008,1.215
Tunisia,2009,0.687
Tunisia,2010,1.589
Tunisia,2011,0.86
Tunisia,2012,1.414
Tunisia,2013,1.24
Tunisia,2014,1.671
Tunisia,2015,1.047
Tunisia,2016,1.716
Tunisia,2017,1.227
Tunisia,2018,1.362
Tunisia,2019,1.172
Tunisia,2020,1.831
Tunisia,2021,2.372
Tunisia,2022,1.971
Tunisia,2023,2.255
Tunisia,2024,2.69
Tunisia,2025,2.023
Turkiye,1961,0.183
Turkiye,1962,1.039
Turkiye,1963,0.486
Turkiye,1964,-0.717
Turkiye,1965,-0.338
Turkiye,1966,1.428
Turkiye,1967,-0.826
Turkiye,1968,-0.019
Turkiye,1969,-0.058
Turkiye,1970,0.862
Turkiye,1971,0.05
Turkiye,1972,-0.722
Turkiye,1973,-0.474
Turkiye,1974,-0.321
Turkiye,1975,-0.115
Turkiye,1976,-1.144
Turkiye,1977,0.2
Turkiye,1978,-0.046
Turkiye,1979,0.911
Turkiye,1980,-0.094
Turkiye,1981,0.401
Turkiye,1982,-0.222
Turkiye,1983,-0.449
Turkiye,1984,0.339
Turkiye,1985,-0.066
Turkiye,1986,0.434
Turkiye,1987,-0.383
Turkiye,1988,-0.292
Turkiye,1989,0.357
Turkiye,1990,-0.05
Turkiye,1991,0.23
Turkiye,1992,-1.235
Turkiye,1993,-0.811
Turkiye,1994,1.213
Turkiye,1995,0.166
Turkiye,1996,0.293
Turkiye,1997,0.027
Turkiye,1998,1.031
Turkiye,1999,1.265
Turkiye,2000,0.543
Turkiye,2001,1.542
Turkiye,2002,0.814
Turkiye,2003,0.323
Turkiye,2004,0.613
Turkiye,2005,0.453
Turkiye,2006,0.902
Turkiye,2007,0.997
Turkiye,2008,0.874
Turkiye,2009,0.697
Turkiye,2010,2.395
Turkiye,2011,0.416
Turkiye,2012,0.996
Turkiye,2013,1.372
Turkiye,2014,1.333
Turkiye,2015,0.808
Turkiye,2016,1.585
Turkiye,2017,0.761
Turkiye,2018,2.617
Turkiye,2019,1.656
Turkiye,2020,1.821
Turkiye,2021,1.866
Turkiye,2022,1.253
Turkiye,2023,1.987
Turkiye,2024,2.676
Turkiye,2025,1.93
